start	end	dom_order
60500	379500	1
379500	679500	1
679500	799500	1
799500	919500	1
919500	1019500	1
1019500	1101500	1
1101500	1238500	1
1238500	1379500	1
1379500	1479500	1
1479500	1509500	1
1509500	1939500	1
1939500	2099500	1
2099500	2149500	1
2149500	2229500	1
2229500	2331500	1
2331500	2471500	1
2478500	2611500	1
2611500	2618500	1
2618500	2641500	1
2641500	2648500	1
2648500	2750500	1
2750500	2789500	1
2789500	2819500	1
2819500	2951500	1
2951500	2958500	1
2958500	3189500	1
3189500	3209500	1
3209500	3329500	1
3329500	3429500	1
3429500	3669500	1
3669500	3819500	1
3819500	3929500	1
3929500	3989500	1
3989500	4109500	1
4109500	4139500	1
4139500	4230500	1
4230500	4369500	1
4369500	4399500	1
4399500	4519500	1
4519500	4639500	1
4639500	4669500	1
4669500	4789500	1
4789500	4809500	1
4809500	4999500	1
79500	379500	2
379500	489500	2
489500	510500	2
510500	569500	2
569500	609500	2
609500	659500	2
659500	679500	2
679500	709500	2
709500	729500	2
729500	799500	2
799500	859500	2
859500	919500	2
919500	949500	2
949500	979500	2
979500	1019500	2
1019500	1069500	2
1069500	1101500	2
1101500	1139500	2
1139500	1238500	2
1238500	1270500	2
1270500	1289500	2
1289500	1379500	2
1410500	1440500	2
1440500	1479500	2
1509500	1549500	2
1549500	1599500	2
1599500	1649500	2
1649500	1709500	2
1709500	1759500	2
1759500	1779500	2
1779500	1849500	2
1859500	1899500	2
1899500	1939500	2
1939500	1969500	2
1969500	1989500	2
1989500	2039500	2
2039500	2099500	2
2099500	2119500	2
2119500	2129500	2
2129500	2149500	2
2149500	2170500	2
2170500	2209500	2
2209500	2229500	2
2229500	2279500	2
2279500	2331500	2
2331500	2389500	2
2389500	2449500	2
2449500	2460500	2
2460500	2471500	2
2648500	2699500	2
2699500	2750500	2
2819500	2899500	2
2899500	2951500	2
2958500	2980500	2
2980500	3069500	2
3069500	3189500	2
3209500	3229500	2
3229500	3269500	2
3269500	3279500	2
3279500	3289500	2
3289500	3299500	2
3299500	3309500	2
3309500	3320500	2
3320500	3329500	2
3329500	3409500	2
3409500	3429500	2
3429500	3499500	2
3499500	3609500	2
3609500	3669500	2
3669500	3710500	2
3710500	3719500	2
3719500	3759500	2
3759500	3780500	2
3780500	3819500	2
3819500	3850500	2
3850500	3889500	2
3889500	3929500	2
3929500	3950500	2
3950500	3969500	2
3969500	3989500	2
3989500	4049500	2
4049500	4089500	2
4089500	4109500	2
4139500	4179500	2
4179500	4209500	2
4209500	4220500	2
4220500	4230500	2
4230500	4240500	2
4240500	4249500	2
4249500	4259500	2
4259500	4299500	2
4299500	4369500	2
4399500	4459500	2
4459500	4519500	2
4519500	4549500	2
4549500	4590500	2
4590500	4609500	2
4609500	4639500	2
4669500	4700500	2
4700500	4729500	2
4729500	4759500	2
4759500	4789500	2
4809500	4869500	2
4869500	4909500	2
4909500	4969500	2
4969500	4999500	2
